"cntry","dscrrce","dscrntn","dscrrlg","dscrlng","dscretn","dscrage","dscrgnd","dscrsex","dscrdsb","dscroth","ppltrst","pplfair","pplhlp","trstprl","trstlgl","trstplc","trstplt","trstprt","psppsgva","actrolga","psppipla","cptppola","polintr"
"AT",0,0,0,0,0,0,0,0,0,0,5,6,6,6,8,6,6,5,3,3,3,3,2
"AT",0,0,0,0,0,0,0,0,0,0,10,7,5,0,4,4,0,5,8,2,3,3,3
"AT",0,0,0,0,0,0,0,0,0,0,2,4,4,7,4,9,8,9,2,2,3,2,2
"AT",0,0,0,0,0,0,0,0,0,0,6,8,2,2,5,6,0,0,1,1,1,1,4
"AT",0,0,0,0,0,0,0,0,0,0,2,5,4,5,6,7,3,3,1,1,1,8,3
"AT",0,0,0,0,0,0,0,0,0,0,7,7,7,5,7,7,4,3,3,3,2,3,1
"AT",0,0,0,0,0,0,0,0,0,0,5,5,0,5,8,8,0,0,2,1,2,1,3
"AT",0,0,0,0,0,0,0,0,0,0,7,9,7,5,6,8,4,3,2,2,1,2,2
"AT",0,0,0,0,0,0,0,0,0,0,5,6,4,2,5,6,0,0,2,3,2,3,2
"AT",0,0,0,0,0,0,0,0,0,0,5,5,5,6,7,3,3,3,3,5,2,5,2
"AT",0,0,0,0,0,0,0,0,0,0,7,8,6,8,8,10,7,7,3,1,1,1,3
"AT",0,1,0,0,0,0,0,0,0,0,3,88,6,88,5,5,88,88,1,1,1,2,3
"AT",0,0,0,0,0,0,0,0,0,0,7,8,7,7,10,10,5,5,2,2,1,2,4
"AT",0,0,0,0,0,0,0,0,0,0,6,6,6,5,6,7,3,2,3,2,2,1,3
"AT",0,0,0,0,0,0,0,0,0,0,3,9,7,6,8,9,5,4,1,1,1,1,3
"AT",0,0,0,0,0,0,0,0,0,0,4,5,5,6,8,8,5,5,1,3,1,3,3
"AT",0,0,1,0,0,0,0,0,0,0,3,6,9,7,7,6,4,3,3,3,2,3,2
"AT",0,0,0,0,0,0,0,0,0,0,6,6,6,88,7,8,4,4,8,8,8,8,3
"AT",0,0,0,0,0,0,0,0,0,0,2,5,3,1,1,6,1,1,2,4,3,3,2
"AT",0,0,0,0,0,0,0,0,0,0,7,8,7,7,8,9,6,6,2,2,3,2,3
"AT",0,0,0,0,0,0,0,0,0,0,8,5,6,88,9,8,5,3,2,1,2,1,4
"AT",0,0,0,0,0,0,0,0,0,0,6,8,5,7,6,8,7,3,2,4,2,4,1
"AT",0,0,0,0,0,0,0,0,0,0,10,10,10,9,9,9,8,7,1,1,1,1,4
"AT",0,0,0,0,0,0,0,0,0,0,2,9,3,10,8,7,8,10,4,4,4,5,2
"AT",0,0,0,0,0,0,0,0,0,0,7,6,5,5,5,5,2,2,3,1,2,2,1
"AT",0,0,0,0,0,0,0,0,0,0,0,3,1,3,9,10,1,1,1,4,2,4,2
"AT",0,0,0,0,0,0,0,0,0,0,4,5,5,6,7,7,5,4,3,2,3,2,2
"AT",0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,2,3,2,2,2
"AT",0,0,0,0,0,0,0,0,0,0,7,7,7,2,6,6,1,1,3,3,3,3,1
"AT",0,0,0,0,0,0,0,0,0,0,7,7,8,6,8,8,5,5,3,3,3,3,2
"AT",0,0,0,0,0,0,0,0,0,0,6,6,4,5,7,7,3,3,2,2,2,2,3
"AT",0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,1,1,1,1,4
"AT",0,0,1,0,0,0,0,0,0,0,5,7,7,5,7,8,4,5,2,3,2,2,2
"AT",0,0,0,0,0,0,0,0,0,0,4,4,5,9,5,9,7,6,2,1,1,7,3
"AT",0,0,0,0,0,0,0,0,0,0,1,8,5,8,7,7,8,7,3,3,3,2,2
"AT",0,0,0,0,0,0,0,0,0,0,8,8,8,5,5,5,5,5,3,3,1,1,3
"AT",0,0,0,0,0,0,0,0,0,0,6,7,7,8,10,10,8,8,3,3,3,3,2
"AT",0,0,0,0,0,0,0,0,0,0,10,9,6,5,7,10,5,5,2,3,3,3,1
"AT",0,0,0,0,0,0,0,0,0,0,3,5,7,4,8,8,4,3,1,3,2,2,3
"AT",0,0,0,0,0,0,0,0,0,0,6,7,6,5,6,7,4,4,2,8,2,8,3
"AT",0,0,0,0,0,0,0,0,0,0,5,5,5,8,8,8,6,4,3,3,3,3,1
"AT",0,0,0,0,0,0,0,0,0,0,3,5,4,3,0,2,0,3,2,2,1,3,1
"AT",0,0,0,0,0,0,0,0,0,0,5,1,5,7,2,9,7,9,3,3,2,3,2
"AT",0,0,0,0,0,0,0,0,0,0,7,9,7,5,7,8,2,2,2,2,2,2,2
"AT",0,0,0,0,0,0,0,0,0,0,7,3,5,6,7,8,5,5,3,2,3,8,2
"AT",0,0,0,0,0,0,0,0,0,0,7,7,7,5,8,8,3,3,2,2,2,2,3
"AT",0,0,0,0,0,0,0,0,0,0,8,8,8,2,8,8,2,2,3,1,3,1,2
"AT",0,0,0,0,0,0,0,0,0,0,6,6,4,5,7,8,4,4,2,1,1,1,3
"AT",0,0,0,0,0,0,0,0,0,0,8,8,5,8,9,10,5,5,3,2,3,2,2
"AT",0,0,0,0,0,0,0,0,0,0,3,7,7,10,10,8,10,10,3,2,2,2,3
"AT",0,0,0,0,0,0,0,0,0,0,5,5,5,7,9,10,6,6,3,3,3,3,2
"AT",0,0,0,0,0,0,0,0,0,0,7,5,5,4,5,5,4,4,3,2,3,2,3
"AT",0,0,0,0,0,0,0,0,0,0,3,3,7,6,9,5,4,8,4,2,2,2,2
"AT",0,0,0,0,0,0,0,0,0,0,7,7,5,10,7,8,5,5,3,4,3,3,1
"AT",0,0,0,0,0,0,0,0,0,0,8,8,8,8,9,9,7,7,2,2,2,2,2
"AT",0,0,0,0,0,0,0,0,0,0,7,7,9,6,7,8,6,6,1,1,1,1,3
"AT",0,0,0,0,0,0,0,0,0,0,4,4,7,0,5,3,0,0,1,3,1,3,3
